,Image_2_COXI_Actin,Image_3_P2X7_Actin,Image_5_Ki67_Actin_2_Full,med,iqr,minout,maxout
0,15.181316767301439,17.61601636346732,22.90902860075427,17.61601636346732,3.863855916726415,10.60288269029476,26.05830635720042
1,22.84175426418088,17.5134496710123,22.735878353284004,22.735878353284004,2.664152296584291,16.128435567271715,26.78504475360888
2,27.027171911956515,17.43586714464179,22.575129841299344,22.575129841299344,4.795652383657362,12.812019917484523,31.994629452113973
3,27.91541035761904,17.348787908303873,22.39792455540552,22.39792455540552,5.283311224657584,11.94838939486832,33.08163429349866
4,26.054366923889944,17.137004190344985,22.075705290975975,22.075705290975975,4.458681366772481,12.918332690501757,30.75305815759168
5,24.453495732834714,16.873443322676305,21.61139830441076,21.61139830441076,3.7900262050792044,13.557381505924726,28.71748632624154
6,22.083374546653477,16.63232755047237,20.95129986613997,20.95129986613997,2.7255234980905527,14.703528461170343,25.605622453532554
7,20.76329716200026,16.465182270482966,20.239717045043893,20.239717045043893,2.149057445758647,15.12886348912546,23.725093272160045
8,20.30647544626324,16.356565992782315,19.648355998289265,19.648355998289265,1.9749547267404601,15.040028905425102,22.939847812386944
9,20.339434515676523,16.234139196596534,19.104664881865553,19.104664881865553,2.0526476595399927,14.590430549921056,22.801021188081027
10,20.822336571298052,16.120262030323005,18.599174575949732,18.599174575949732,2.3510372704875238,13.833162397405083,23.237311479355178
11,21.03130334576847,15.743624124192884,18.141655978221074,18.141655978221074,2.6438396107877935,12.976880635025289,23.552239078176463
12,21.057464290595245,15.269836417736322,17.663749500257957,17.663749500257957,2.89381393642946,12.12607205435295,23.70132780007079
13,21.282956449673964,14.761372731338716,17.21662983918949,17.21662983918949,3.2607918591676253,11.097813496512664,24.140980933183165
14,21.60192209886661,14.288480094037483,16.766152110125354,16.766152110125354,3.6567210024145638,10.042234598459572,24.669118608117827
15,21.558842641478783,13.958818372714115,16.423194802229247,16.423194802229247,3.800012134382335,9.490988385898177,24.691036923427518
16,21.029423396862857,13.811484248767227,16.179239520113956,16.179239520113956,3.6089695740478156,9.581907523368868,24.01778581956013
17,20.347482608629758,13.564350755108084,16.050586399364295,16.050586399364295,3.391565926760837,9.720119687094934,23.286383394138284
18,20.150211501402755,13.358601289686876,15.994655736365601,15.994655736365601,3.3958051058579386,9.58292085423933,23.166141277671084
19,20.0651809396055,13.310077258420158,15.982172074806112,15.982172074806112,3.3775518405926714,9.579796905724127,23.090004268094813
20,20.068405147016897,13.307375576988703,15.950578575220161,15.950578575220161,3.380514785014098,9.558204898583284,23.080264038639676
21,20.242885814636942,13.306503156872267,15.863213262282217,15.863213262282217,3.4681913288823374,9.382571216253735,23.255336531783087
22,20.557615322673417,13.260353479795917,15.793808351718218,15.793808351718218,3.6486309214387482,9.054134533598946,23.64865821935394
