,hsp90_3NT33_OG,hsp90_3NT56,hsp90_3NT56_OG,Image_1_Actin_Ki67,Image_2_COXI_Actin,Image_3_P2X7_Actin,Image_4_Antibody_Control,Image_5_Ki67_Actin_2_Full,Image_7_COXI_COXII,Image_8_3NT,med,iqr,minout,maxout
0,0.6109363608673303,0.19241676171958463,0.5262403731905925,0.13555459694557334,0.0028999509640380556,0.002822376001873008,0.18796588615558565,0.6288124456759883,1.7600876537875434,0.01561794959879569,0.19019132393758514,0.5441602525126557,-0.7706382673334934,1.406002742717129
1,0.6065805832838813,0.09391383493567657,0.6353583044921108,0.1371144154629233,0.03212791259877348,0.010729801287003187,0.2975607402116722,0.8498270294312426,2.4679225352386567,0.023773100924674016,0.21733757783729776,0.5805894810070542,-0.823309828327582,1.4990480957006347
2,0.5935567803234318,0.7516033161751815,0.6800107341661864,0.15180901634033625,0.07185387928217447,0.012342082589815229,0.41740065039661767,1.0045763702252994,3.2396511111111113,0.03516212188586714,0.5054787153600248,0.6418625071262178,-0.8709510971426119,1.6964989313622594
3,0.6098014586395002,1.295612359993835,0.7113848688313538,0.15367797960211005,0.22191477406150611,0.020589244592845654,0.6179906771001021,1.2536255524947322,3.6372576666666667,0.04883877514780163,0.6138960678698011,0.9473282033619286,-1.2502551268259336,2.5390576866217804
4,0.6081933162337274,1.4042979098122068,0.6564460107905151,0.16888891727942598,0.4771395979136128,0.03963975968848624,0.7850555532090395,1.4904929071809405,3.9796064444444443,0.06738905261150818,0.6323196635121213,1.0035357332234423,-1.2593520123971906,2.7547909204965784
5,0.6256693802271137,0.3277481513344429,0.6669265370941009,0.18609071515287848,0.6354987616409331,0.043132791356001954,0.8635734990221082,1.6308065488845718,4.1987921111111115,0.08060558282134776,0.6305840709340234,0.5929066843418368,-0.6678549523144857,1.7037717850528615
6,0.6236552207627688,0.7814668441493109,0.6467933011773557,0.19237725861881882,0.8216429388678249,0.0668340056856518,0.9486617360278536,1.7973468336536715,4.296738777777778,0.11491722107497652,0.7141300726633333,0.6167102875830401,-0.6248686822197539,1.8419724681124068
7,0.6604562189620018,1.8946975098279053,0.6543151369851773,0.21293743029619364,0.9897710617947487,0.07341683418636998,1.0170973975607147,1.9543727777777777,4.367090666666667,0.15608423871210997,0.8251136403783752,1.352015624792668,-1.7047415802205625,3.7033209189501095
8,0.7046172705407205,2.045475014063226,0.661926665243251,0.22226985858518203,1.0707569467463636,0.10665818190655046,1.0552121561568037,2.0656924444444447,4.411302333333333,0.20660784038742977,0.8799147133487621,1.469611436984311,-1.8722330952267674,4.006212652710477
9,0.7173359517192008,2.1712280507388098,0.6861773302272323,0.23080970656725708,1.1807512843946302,0.15384466166799127,1.0875126752822786,2.1984002222222223,4.4336313333333335,0.23401808400227078,0.9024243135007397,1.5765509635942538,-2.0177685498328692,4.288435304544145
