,means,med,iqr,minout,maxout
6,1.3184996654942245,1.0847941214692343,1.0802707956795703,-0.9004683118711637,3.4206148708471176
7,1.3756012700614182,1.1063879905097729,1.0776021573607315,-0.8469063645479562,3.46350226489497
8,1.4273947286886524,1.1769846022250798,1.04595207543227,-0.7271119537917806,3.4566963479372994
9,1.4498752840933158,1.199209570915361,1.0381792265682102,-0.6891495973375932,3.4635673089352474
10,1.4550253693076385,1.2164745719745982,1.0196328693472694,-0.6438780687201605,3.4346534086689173
11,1.4564500801441431,1.2155288066751329,0.9996564466680127,-0.6030931315591348,3.395532655112916
12,1.4335182651590876,1.1893077725823211,0.9888189599831214,-0.6051722779513466,3.350103561981139
13,1.399498799439507,1.1312016288763662,0.9739013692617817,-0.6153782317248417,3.280227245322285
14,1.3484284962952813,1.0540632745072953,0.9666815852408162,-0.6585259796333476,3.208200361329917
15,1.3109898784977834,0.9923142769904666,0.9284028452709312,-0.6254847124209082,3.0881266686628166
16,1.2674180813222025,0.9238853499265062,0.9095429761957275,-0.6375510539181767,3.000620850864734
17,1.2242849590094458,0.8241406610622316,0.880608598298938,-0.6369683120752339,2.8854660811205184
18,1.1989424687624284,0.7944578562209058,0.8501685821731046,-0.6025158487191618,2.798158479973257
19,1.1586055522951464,0.7325060036567066,0.8507433511080448,-0.6494060370805531,2.753567367351626
20,1.1368529351288996,0.669773442167284,0.8487443861516004,-0.6774057104147051,2.7175718341916966
21,1.1184749478365454,0.6193809913068875,0.8451751000661591,-0.6966487414281874,2.684051658836449
22,1.1074893282452762,0.5647909814483196,0.8860927063028315,-0.8003706710596262,2.7440001541517
23,1.1117723189037367,0.49751570114295335,0.9223493409668757,-0.8864905174702105,2.8029068463972924
24,1.1215107594345308,0.5007184764400674,0.9788026997821779,-0.9912927108784408,2.9239180882502707
25,1.1548827328874156,0.4976458531202391,1.059663648303987,-1.1287537836623525,3.1099008095535954
26,1.2032522019772978,0.5197281903468447,1.1526102248304029,-1.2728492505911215,3.3375916487304904
27,1.2520617814974013,0.5159085075352673,1.2447482257910527,-1.4214729885752375,3.557519914588973
28,1.3066326341582926,0.5180846280102344,1.3439929474762997,-1.578490262331321,3.7974815275738774
29,1.3599116358678283,0.5226106624584356,1.430970625756141,-1.7113548589968022,4.012527644027762
30,1.3980855167123518,0.536464609613508,1.4876898617271004,-1.7926994335165602,4.158060013391841
31,1.416757956569451,0.560815612223461,1.5159689615920768,-1.8291655527012,4.234710293667107
32,1.4304295354465142,0.57479468811825,1.5204922925650344,-1.8244637615156205,4.257505408744517
33,1.4204890350974295,0.5990738449653196,1.4919438445311988,-1.7687524514979955,4.1990229266267995
34,1.3970062075580223,0.6136619987081064,1.4453257774207682,-1.689481399495993,4.09182171018708
35,1.3428930328576367,0.6513621819693807,1.337489877542152,-1.504969434948731,3.8449900752198767
36,1.2357100794064135,0.674619768704632,1.1486230243969155,-1.201808547062863,3.3926835505247994
37,1.128919881305185,0.6915902291397132,0.97029861593419,-0.9210097636045629,2.960184700132197
38,0.5563422053903307,0.5563422053903307,0.16026330593116633,0.23581559352799802,0.8768688172526633
