,hsp90_3NT33_OG,hsp90_3NT56,hsp90_3NT56_OG,Image_1_Actin_Ki67,Image_2_COXI_Actin,Image_3_P2X7_Actin,Image_4_Antibody_Control,Image_5_Ki67_Actin_2_Full,Image_7_COXI_COXII,Image_8_3NT
0,73.75586028993077,38.56826640429696,21.181983050718447,28.204027230067634,16.905837657424648,25.64937283314394,27.174570564793186,37.464552047570294,45.51438933134226,28.523921225971232
1,72.66045523880679,34.502377531242416,20.316320565472232,30.65987829565281,28.428880957379803,26.077567088696714,35.04085692403247,39.97689395305232,58.72250450782379,32.63388375201762
2,71.47676975482102,47.85463880094512,19.052467009166012,33.10945952229645,39.79432802215355,25.902952055553875,38.53757348263303,41.67511867446349,68.02689458611891,36.497914809555596
3,71.10321227674596,53.151504845687825,19.188175355813243,35.294353880838514,54.10718593734765,25.529366447299697,40.12984188395393,43.52945042328543,71.07502915827608,38.40023007850364
4,70.30423526693801,53.550470312461194,19.80174388944626,36.875982141428366,60.73175916329938,24.838981983583725,41.04696722133285,45.00288388913049,73.09273788233737,38.696097235603645
5,70.15652724339202,43.88353568773776,19.436056401347,38.04607393806205,61.425488777222434,24.381411572278296,41.412304296040524,45.69850554785291,73.68316445658623,39.08702391226222
6,69.1475357283689,49.05088907257398,19.48418056784982,39.000357714206224,60.79438067448174,24.094819727692396,41.75473292297407,46.33852361594504,73.5316843848532,40.06748269661362
7,68.77325944517845,55.5391166364472,18.980885902848566,39.67865846652516,59.67182297013167,24.006164977362975,41.658060793328744,46.61743245536304,72.58087236522756,41.000593382150846
8,68.46766903078206,55.13245086611154,18.54336434149722,39.89978885776938,58.922302040117444,24.058763476815823,41.040921544802615,46.65152176060877,71.58908483252769,42.29925433387213
9,67.62579331420228,53.70567327769691,18.662040427569885,39.61501459503445,58.3315571979858,24.022222719597327,40.2605653109303,46.6644249503223,70.605945119242,43.31073336288781
10,66.7172770338696,53.89219309399277,18.581847277444798,39.24565312707281,57.501469956551325,23.852343089824622,39.563128944051904,46.48825862993672,69.17579879904277,43.90839268333613
11,65.93081136698794,53.780339841152845,18.235225795381805,39.03567966850561,56.00483369999907,23.386856292574233,39.07337456800491,46.22298233455061,67.36343994809059,44.15000006149358
12,65.2028705806152,52.771180017281935,17.968099489784127,38.95056844593412,54.52973140163727,22.493093051694252,38.123933438526045,45.768630719493956,65.54385830086255,44.2763687598344
13,64.27107858544382,52.58579222889868,17.907731989157032,38.99737124509576,52.940672561043264,21.802715010149935,36.99259066683999,45.05295421975952,63.35822671583515,44.096695819639706
14,63.72371803770434,47.93412975544599,17.19668932396351,39.054134757585174,50.98108962853854,20.801801113415564,35.79788358900339,44.03910882533812,61.2037607840265,43.816337691445646
15,63.176041989399984,45.76717053784368,17.056804265418226,39.04366907858718,49.59908597482065,20.118170320762566,34.62125119862448,42.90873017386467,58.85936332068256,43.427171738272634
16,62.250991890729416,39.455483192185675,17.168411855149106,38.92852725021154,47.721453615438804,19.880700243937437,33.75564633274099,41.49176902891005,56.843657840274396,42.72815827551981
17,61.692365791830795,40.29386574508846,17.100932734626618,38.52419442403307,45.948116507248265,19.71451456380991,32.94051041566561,39.9261020744991,54.79513182214421,42.33257449398188
18,60.692383614017224,38.888264483977636,17.044524407634164,38.01399365564361,45.404262512895016,19.609171759796787,32.045255561054375,38.61411178098592,52.5637938080157,41.89129262532731
19,59.536410315619996,38.7146237710229,16.760153881862838,37.386982318181175,44.25684665923454,19.60329477826838,31.377961598243452,37.16166956917102,50.500604510331875,41.593938972492246
20,58.848547946998735,37.20206779978147,16.38550613735281,36.93564977139205,42.89347965448478,19.620545828083394,30.543031267971198,35.6774900573464,48.69519976135652,41.38372152739721
21,58.09784562297047,37.77096484024343,16.35861369217416,36.49359456270986,41.81997296678621,19.58022508871448,29.681587224389105,34.66754401113483,46.57239476485866,41.05081861209734
22,57.32659736584304,31.288411607243845,16.24848223227914,36.13194084313364,40.23608987551384,19.45147373576753,28.836692562397438,33.52915945893653,45.24967353820548,40.67488673160684
23,56.8670152518358,32.19258554184466,16.063528084250002,35.939114347017984,38.41270243971218,19.15424716975312,28.00095992989415,32.52230429020455,43.04651965362667,40.36385470852865
24,56.140110610838136,31.436189332649626,15.975453595274283,35.76741748288599,37.43383402420923,18.731426826432916,27.401851832055357,31.833904149140764,40.969094699134985,39.93492213589087
25,55.615812683384306,33.732065520506154,15.906108723197812,35.74356521596185,36.275368412963104,18.387641691912897,26.284341647869223,31.187471789283045,39.493773082202694,39.55858519650956
26,55.09838832147238,33.466126072401266,15.892088268349713,35.717399842593,35.108882540828844,18.225109188036452,25.37476092940543,30.662379335271538,37.863093874211216,39.25743857108707
