,means,med,iqr,minout,maxout
0,1.3330454329281933,0.5146353816885623,1.1382212901216993,-1.6330272023511128,2.919857958135684
1,1.5693083250968711,0.7902821032907035,1.1402683675433023,-1.5191505960408884,3.0419228741323208
2,1.7039326249064382,0.8994992477881919,1.1073617962393139,-1.347900873347752,3.081546311609504
3,1.808683051968986,0.9405154111500379,1.0808919888562902,-1.163414508950268,3.160153446474893
4,1.9196471538259272,1.0042692973531366,1.0734120697776084,-1.0383618452833239,3.25528643382711
5,2.001878710115431,1.0478513388378385,1.110920454219387,-1.041781510407629,3.401900306469919
6,2.0703339308995603,1.1255992391134464,1.1765621071305983,-1.0866580444400546,3.6195903840823385
7,2.1200641903746873,1.190066940287433,1.2132489933150667,-1.0728257627198565,3.7801702105404105
8,2.156141020715969,1.2556772029554593,1.27703931348208,-1.1284079112983723,3.9797493426299484
9,2.1852546259124828,1.3887886838876118,1.353502637321165,-1.2446866200445794,4.16932392924008
10,2.20908662158637,1.4994548801589853,1.38693539676818,-1.2826076856112727,4.265133901461446
11,2.22544132915671,1.6123709396491355,1.4063190974141446,-1.301655881528038,4.323620508128541
12,2.23000453531739,1.6728030143000208,1.427165531161162,-1.3205388867343337,4.388123237910314
13,2.225873227829829,1.671481102221871,1.4645743235800184,-1.3812221200160086,4.477075174304065
14,2.24163853282096,1.6781483933379622,1.5239551815356678,-1.4753750136680086,4.6204457124746625
15,2.2461591749133065,1.6695473572815118,1.585365190998795,-1.5777265031675949,4.763734260827585
16,2.2644024100208275,1.7010898748417203,1.657308241344389,-1.6772234199286422,4.952009545448914
17,2.2721973734507777,1.7193294632859235,1.7312990087548208,-1.7835632755078015,5.141632759511482
18,2.2785516869493128,1.7175552263278488,1.800291823286668,-1.8838460341915504,5.317321258955122
19,2.2948109925254094,1.7476936292998213,1.881371462530341,-1.9930011911594636,5.5324846589619
20,2.3148883065139425,1.7936406343230273,1.959822125004338,-2.100470680937535,5.7388178190798165
21,2.3279619388989516,1.7936340428964606,2.041196674954577,-2.2078269053560993,5.956959794462208
22,2.35638019135796,1.7440738990637312,2.146397235181908,-2.3403048560023194,6.245284084725313
23,2.3840311563084997,1.702283878070055,2.2522151336644995,-2.472162939692253,6.536697594965745
24,2.430611706241264,1.6714534568412767,2.372613502727499,-2.6195706690909373,6.870883341819059
25,2.49647583746608,1.6801644743512711,2.5534078485763962,-2.863555347275286,7.350076047030298
26,2.5670972525708438,1.6835281242307423,2.745120000880651,-3.1346304447272058,7.8458495587954
27,2.6346485154073394,1.6664221926274725,2.921932961157773,-3.3589928184248468,8.328739026206247
28,2.7071347687597394,1.6631146693792638,3.1181360644539096,-3.6269706287307937,8.845573629084843
29,2.767086552698735,1.6621448299046864,3.2791677523613343,-3.835915453794434,9.280755555650902
30,2.819996902197132,1.6501990016269277,3.45005122479485,-4.077632042300689,9.722572856878712
31,2.87884393692179,1.680311050486653,3.57523637775978,-4.235932270080893,10.06501324095823
