,Image_1_Actin_Ki67,Image_2_COXI_Actin,Image_3_P2X7_Actin,Image_4_Antibody_Control,Image_5_Ki67_Actin_2_Full,Image_7_COXI_COXII,Image_8_3NT
0,20.126943085885173,15.166967310484404,25.095057889017948,23.068506852074375,27.350846359455588,26.98812941011027,18.77332092545647
1,20.762797472220264,21.115813619569597,24.01493571241144,26.922012900396513,27.20787380006286,28.54575802497292,19.71571169460371
2,20.918879000897398,24.869835386861098,23.285422565889785,27.419725363216443,27.086896391821593,28.717944568223217,20.138116099747933
3,20.5367315198829,27.74523447929221,23.440919002870903,26.462747097402147,26.87353503461895,28.643293667994975,20.473839646792566
4,20.174838459550273,28.63867483430781,23.91569514647535,25.57905185211212,26.65463562301211,28.810943381203,20.994829580243554
5,19.886705643396585,28.43019386865231,24.12869847785189,25.393612500132146,26.44202808649263,28.899480059817172,21.701023062929128
6,19.80589795289981,27.712585979369194,24.040669227990673,25.22710253572554,26.308375765868337,28.73212693168181,22.170624457158883
7,19.875236679584507,26.888677051112676,24.100467451352447,24.727761318493837,26.232135270524246,28.135107166508842,22.41647725142871
8,19.948087559035546,26.419556243360375,24.28639242689776,24.456643159165555,26.116150782913067,27.444834203251364,22.40241105962089
9,19.99967933415519,26.37092770098358,24.228307496468865,24.364521205700747,25.866100108730297,26.89133978784626,21.93533335319271
10,20.270511495737537,26.565557717395833,24.07112142200892,24.33927046008867,25.539328699115153,26.245187117187417,21.376587609027066
11,20.78872840227445,26.375440333723375,23.794059973208952,24.212252423604305,25.125027890081842,25.43084400692954,21.18897948448185
12,21.112139126746374,25.98923076923077,23.192141901407076,23.771697262704176,24.637242083462912,24.692634743838635,21.259628636851986
13,21.395204645677122,25.66498187664252,22.610266503169363,23.156703494512918,24.159442827479722,24.0114661412707,21.225223504868442
14,21.39584192162379,25.104802484891376,21.60843325415677,22.46547069858302,23.75048976621826,23.488666551001135,20.928482307340293
15,21.247372828050946,24.75584639126306,20.816822184255486,21.935422281658266,23.457789210224544,22.952618394107933,20.325628651723548
16,20.997799585494565,24.293647979368753,20.36394347751676,21.57514661668483,23.22199631183184,22.50230145206607,19.783631511651052
17,20.70893711678716,23.671415789808954,19.921920557940542,21.280458507640336,23.084091573246134,21.962955926974395,19.656263200934767
18,20.483183772731287,23.522210942746238,19.288051486521628,20.99729933157333,22.96907773656968,21.403312908221668,19.714569291229697
19,20.321372615581467,23.230104178157944,19.005124495518306,20.762266561869435,22.68573267317716,20.940489173151995,19.646435474320445
20,20.21519542021528,22.837164041552626,18.854509418109483,20.3137824945666,22.247423337175295,20.525959163745277,19.443919217384746
21,20.181163922077065,22.467358166444395,18.886492934155687,19.81653245849488,21.849231884975566,20.02547752101226,19.13058303083847
22,20.184199132337213,21.866064029279578,18.924259926001486,19.53474950653257,21.484867147471547,19.686290635751273,18.677067305711912
23,20.245093265773757,21.236684822568645,18.93823134140148,19.538610253931665,21.285448389014718,19.225747373297118,18.423733864003655
24,20.195114746470296,20.999814318288163,18.87809148610199,19.488566189202317,21.213356877915427,18.87000819915393,18.256005103417817
25,20.088900074123043,20.860015099078357,18.878266955790824,19.007291106166306,21.054136091915563,18.60031332238767,18.184823478485978
26,19.95695039789153,20.713790466018274,18.977684960438797,18.52642601423538,20.695805947714344,18.30854210188946,18.06377823919081
27,19.67331708982191,20.399430406611177,19.012048979287318,18.31262175620325,20.31509970173263,18.009778748385074,17.859851173991572
28,19.507653811165095,19.795078126435584,18.99372940287226,18.248930642724783,19.934534013876604,17.750622748524567,17.49207377596506
29,19.312268571727685,19.320103330164997,18.929461518787065,18.24792218477734,19.71164575137534,17.42358839050132,17.16995852253068
30,19.10587317935046,19.019698838394643,18.841852165585255,18.19748410088449,19.614635543297993,17.10433943419206,16.892412083726168
31,18.905327703970237,18.7518467602369,18.633703716308194,18.010848715380888,19.61717399023449,16.84103418198046,16.62572431570426
32,18.62489980625392,18.5621313344255,18.504126490121433,17.681690543556655,19.628497361365756,16.59900964991175,16.443956860539846
33,18.220010682859634,18.350322076297687,18.277961164517944,17.556340955463604,19.555579255555447,16.350615213307304,16.335170277792937
34,17.999947364517464,18.166092514387127,18.22074796396591,17.58954846950489,19.40984710552113,16.08743056091148,16.218575531029988
35,17.67714089251881,18.050725133657306,18.266229546773342,17.672324594666613,19.120538257493564,15.876704253243062,16.087189831852715
36,17.467526267958707,17.90298222574003,18.231352236688366,17.789546498659885,18.736818933272456,15.656405435837438,16.005571624865357
37,17.299697349579596,17.81705818534474,18.029736635615556,17.811363948263963,18.433193966745712,15.454727245894318,15.90323481166091
38,17.127855985812047,17.79185853115421,17.8939786994968,17.72275227721006,,15.319554698429311,15.724671918262127
39,17.017411564285,17.753981663719234,17.760277590784995,17.46896792257999,,15.184174309815887,15.577192864940223
40,16.842811765287113,17.665996403304216,17.647189921387728,17.185024629400417,,15.049822152013006,15.373665994316747
41,16.727468795057884,17.614159180809207,17.52922576287837,16.859030878501855,,14.92826714137158,15.157817417936748
42,16.6030313192853,17.568484627127468,17.41106730504555,16.608268916128985,,14.774959120659009,14.997338965796494
43,16.467383191042913,17.50634175854995,17.212489822260878,16.458077347339817,,14.592579447636389,14.791046491491286
44,16.31331861127824,17.346255054553673,16.9695962183873,16.317500263854164,,14.41997299378895,14.56129859782604
45,16.24234815672239,17.149391897436104,16.807315353501203,16.20014947001941,,14.223693823992354,14.355245619434696
46,16.133066253123115,16.864831754995123,16.70559682576432,16.113954056740898,,14.025715230500357,14.118338159767502
47,16.045481620466543,16.496497845701843,16.60693574199667,16.022164894079676,,13.819687945345946,13.871508734999423
48,15.879593385998625,16.129474711460322,16.54034854300767,15.963272287440079,,13.678547209330906,13.64926220105899
49,15.685334991885725,15.766520562634785,16.487895244198825,15.897281519333202,,13.58812585139551,13.484235364273816
50,15.532266944231779,15.493810579363052,16.3463323731382,,,13.465831971874849,13.371923267108933
51,15.427517295076832,15.24422204128266,16.208404627567848,,,13.39397085472667,13.29866935648846
52,15.445915285143581,15.116160457775203,15.981692009754697,,,13.2555508159426,13.123244795706588
53,15.527548169695573,15.068221319682335,15.714035384030739,,,,12.623324170276252
54,15.620615726391254,15.063785144775492,15.566688996572278,,,,11.853554591151768
55,15.595833848130669,15.190281728679329,15.437956299244577,,,,11.375517330574237
56,15.578274206256783,15.289180391856194,15.264045582934353,,,,
57,15.536635288633992,15.183773283846127,15.011315694912096,,,,
58,15.503573215179019,,14.863920137987881,,,,
59,15.41111944496531,,14.75161801288828,,,,
60,15.34314321023858,,14.57790782735918,,,,
61,15.270718582834649,,14.420393185754987,,,,
62,15.29631479989256,,14.208187099186818,,,,
63,15.332647552585668,,13.987302528412082,,,,
64,15.319747623262055,,13.89199631373766,,,,
65,15.270063507858,,13.914501378458029,,,,
66,15.171357791385775,,14.15066565902858,,,,
67,15.089447449623346,,14.322726797859998,,,,
68,15.04254189732312,,14.335615168154295,,,,
69,15.010072769554368,,,,,,
70,14.931747569572044,,,,,,
71,14.863857407369727,,,,,,
72,14.823311071862236,,,,,,
73,14.785049463564164,,,,,,
74,14.747786295423282,,,,,,
75,14.688955984403812,,,,,,
76,14.64104378343192,,,,,,
77,14.606104773383413,,,,,,
78,14.514772437982632,,,,,,
79,14.475397922396226,,,,,,
80,14.403451882110996,,,,,,
81,14.320630313083143,,,,,,
82,14.273005751437859,,,,,,
83,14.23987167359026,,,,,,
84,14.252174032409727,,,,,,
85,14.258098652835312,,,,,,
86,14.337589457649527,,,,,,
87,14.35180858300553,,,,,,
88,14.339883406140405,,,,,,
89,14.251728414073709,,,,,,
90,14.193058549475001,,,,,,
91,14.097761471298533,,,,,,
92,14.040100326059694,,,,,,
93,14.005241261833786,,,,,,
