,Image_1_Actin_Ki67,Image_2_COXI_Actin,Image_3_P2X7_Actin,Image_4_Antibody_Control,Image_5_Ki67_Actin_2_Full,Image_7_COXI_COXII,Image_8_3NT
0,26.32169167803547,19.620783909231562,30.840631227446544,28.493987240334604,32.23557775324288,32.238365722208556,24.758242415184576
1,27.04437038226791,26.386533459555345,30.35393456268408,32.61136046549356,31.920627241753458,33.63055167091887,25.836178729849617
2,27.423406034871004,30.47057147981306,29.54098729970995,32.94889263550127,31.74494572744066,33.49779572466576,26.340742912045858
3,26.89455268389662,33.29161853514454,29.735077796926962,31.86688353025056,31.498075744528236,33.30313473973378,26.27696212611357
4,26.27149565256465,33.950897773742,30.266885675375036,31.05674845207679,31.265332818901687,33.41038920180927,27.250552474669558
5,25.704374174500817,33.74848437282503,30.419420875171365,30.761609311141385,31.03568087524114,33.47174565640979,28.048355665786254
6,25.335312526431533,33.070187173385854,30.117809120440807,30.47075681927167,30.85841622615529,33.336222784045084,28.472602610591938
7,25.260806317539483,32.18200057399892,29.99602772515676,29.94237496594823,30.71253007933672,32.854200424730536,28.66009324870669
8,25.373226684730923,31.710413529771078,30.28002187510681,29.674542363031758,30.54439323412289,32.226406995677436,28.635626061890306
9,25.40558008879578,31.68825356809422,30.321616860237505,29.585876990688366,30.290283160086886,31.685060770081616,28.193801651077067
10,25.773654339266365,31.974914405965304,30.23772261368888,29.71122723225801,30.03629387965037,31.01558396722683,27.448858254640584
11,26.283084306630922,31.764834872046453,30.026875989673506,29.663059341251486,29.68401562038605,30.134357645378238,27.215005935711677
12,26.592827308080082,31.310648111792155,29.35250933523462,29.232755033585544,29.20294095284439,29.329599480572675,27.46916405294103
13,26.86120663875598,31.03085815330334,28.63999783229163,28.65540698013168,28.721101601890837,28.5853569364203,27.43559786232293
14,26.845882747068675,30.693609427467212,27.487530203395014,28.011609591748616,28.28915510122526,27.99657504527403,26.871260775547654
15,26.771583101325636,30.38928812805311,26.51852789058546,27.610604730427596,27.988425472761847,27.382524439474317,26.126510151379403
16,26.609208289410347,29.88879104665369,25.978363117398857,27.307573624945864,27.781137372377326,26.859593199145433,25.519768810375567
17,26.3551179726187,29.123502548853015,25.405426457224458,27.030028777283622,27.700893773329565,26.263773509553292,25.426582679616832
18,26.12413439198791,28.939159776366974,24.56292126463177,26.73282022484282,27.664142153600427,25.64758589229265,25.615355506143455
19,25.94656001222234,28.623313720688305,24.256087583764778,26.53210231376932,27.449364620472885,25.149488187260257,25.626924370745606
20,25.873600876476814,28.097162709901564,24.158492003046458,26.097242311054597,27.06631737197141,24.740327877375247,25.287293450830493
21,25.909810480509183,27.676208818465668,24.327397129491136,25.48884893695775,26.66948334622104,24.25995922193249,24.812939370823266
22,26.010131321079307,27.054220024977838,24.471507212396148,25.03770925966421,26.308670044666307,23.916516780310545,24.36435331230284
23,26.154402361967804,26.523073827099513,24.43668402082499,25.150595555125165,26.130166453945968,23.424285506319222,24.148301459954624
24,26.073803524197583,26.411575287814888,24.337529579934895,25.174172096487336,26.082202987213265,23.0183533760041,24.008511151959745
25,25.875983612166,26.374908017041054,24.355849879302585,24.607898786548603,25.934182194691154,22.718792394925316,23.94324295875859
26,25.659621145703923,26.227719974246437,24.528786257392284,23.985476624896723,25.51816776967783,22.408673578863972,23.865706259368988
27,25.361416824794436,26.00902476368836,24.57606041773023,23.71309335699907,25.02307453563181,22.095521035308114,23.745591119404406
28,25.218590294790467,25.481347243267216,24.611934555583858,23.670359552393084,24.528435736427948,21.83387956957252,23.33177306967812
29,25.0853254902914,25.029944595901856,24.69393729505092,23.782853091608853,24.260845043048626,21.574713368987133,22.86877383637844
30,24.924354333789864,24.743474618388355,24.77783897618662,23.816412639561122,24.186577217123972,21.30167007214687,22.53751027965799
31,24.698362632009182,24.572522618274576,24.65399619027178,23.719783561586375,24.210822954010222,21.06951872931014,22.17709824653576
32,24.397969163257844,24.41495086431447,24.50024871409521,23.40694419150315,24.239704159948058,20.871139171882476,22.006010928098046
33,23.928453793631434,24.302498342339206,24.260979399422887,23.412201598317022,24.16231550709865,20.647280617926103,21.970505583544785
34,23.66576086956522,24.186958287579536,24.243642597227772,23.54161441040052,23.983417252547383,20.38987906590627,21.90463552333391
35,23.2655986795796,24.07298201401077,24.38024679743481,23.71385652768969,23.671392339330264,20.196670421093277,21.747440780775893
36,23.042433254064843,23.886320501500453,24.434830455307463,23.857612320773388,23.256403900008195,20.02860043828691,21.634680762937414
37,22.84898843547866,23.790659223541475,24.104344661888003,23.898252698422894,22.95971596437039,19.879061847732046,21.452979462626182
38,22.62610864287248,23.85807256569788,23.8460184713839,23.854765097418333,,19.81099878942301,21.235342217735237
39,22.535674393431673,23.89873034661725,23.674344365351267,23.55700166754789,,19.77341453551187,21.079437442613195
40,22.448170656541997,23.762589728105837,23.584186093174274,23.181379775005613,,19.741235879622874,20.82690523610665
41,22.362694031304798,23.606416039862605,23.535718788839453,22.75295644296452,,19.687435613885455,20.515038059729715
42,22.16749089540806,23.437189800897006,23.4433008273699,22.391869634353153,,19.58306811960628,20.298112052743335
43,22.019461214621565,23.29233278401658,23.207180088904934,22.17781580648177,,19.44595240559227,20.03949121675564
