,Image_2_COXI_Actin,Image_3_P2X7_Actin,Image_5_Ki67_Actin_2_Full
0,19.34928292046936,21.518048678063376,26.08958970499306
1,28.124793145294745,21.115425372931554,25.64146165174908
2,33.964739800280114,20.933691595089265,25.301707663006038
3,36.23605315947844,20.888689700130378,24.914956036824954
4,33.06856786607344,20.942797319933,24.415398130234404
5,30.775435005117707,20.908785606285093,23.931540221539812
6,27.74703282286443,20.73050228498215,23.329644954475715
7,26.49083147314391,20.637980168524457,22.769477411500105
8,26.23163385527516,20.896874230863894,22.34765019004316
9,26.989317013463893,21.105295525663674,21.9995855605529
10,28.28970866504151,21.16294333494111,21.667616704051465
11,28.82593401831019,21.106946668961044,21.30901201369002
12,28.905300318179904,20.679237161388226,20.926587653959864
13,29.420063225871893,20.204108347598428,20.587953099790827
14,30.064723540329176,19.76521019628954,20.31101590363608
15,29.934719408455095,19.5762058868855,20.176136733657216
16,28.91587965706132,19.54490863637535,20.210601118525307
17,27.672564447810597,19.42651121342641,20.442398518530045
18,27.245145861131164,19.386765544780378,20.691435212427916
19,26.90789306679359,19.56600901809326,21.015873986778853
20,26.956455986649978,19.861957563883447,21.28014422738622
21,27.412047054377098,20.12309425805413,21.395901506184874
22,27.86223265409229,20.00988792029888,21.487708513908018
23,28.076681317916663,19.657663300190507,21.546498041470034
24,27.98164676605011,19.401170068722376,21.540216131524726
25,28.09617309129603,19.84803253255606,21.347185787245465
26,28.029497891088845,20.856945583221854,20.930428529753467
27,27.603510171519744,21.127870053737176,20.499751207885716
28,27.356171753449754,21.083900720449687,20.17111604429948
29,27.0048209886805,20.913242642976126,19.98676765515285
30,26.78319045322297,20.60288488101346,19.936445634373943
31,26.843631658672052,20.333786513362337,19.963848969518963
32,27.20699566501225,20.330445117509488,19.957541603996486
33,27.55876403279853,20.4338967955022,20.04327747723974
34,27.408852034360066,20.356303696662064,20.125897979801746
35,27.017296260228775,20.19493231039169,20.35501061540873
36,26.263998317678396,20.017056807290565,20.852450910667237
37,25.705383280928114,19.863498968445633,21.645972461919413
38,24.86155653150853,19.67089689220837,
39,24.143149186462157,19.745960347935114,
40,23.706104168970473,20.029697528169812,
41,23.760568899055365,20.247907125002097,
42,23.748373979627964,20.32050883733775,
43,23.87087120372423,20.085988287246746,
44,23.745146521105955,19.889103119584057,
45,23.640932408490336,20.160974691880703,
46,23.481886014092503,20.50908957988108,
47,23.268188020683713,20.664000196304567,
48,23.17911806270809,20.59711869086163,
49,23.06286786930101,20.541046846513595,
50,22.727410418908686,20.413855281526292,
51,21.606614447345518,20.49630348975628,
52,21.14374193548387,21.656245358681122,
53,21.548252189694626,24.536532783427848,
54,22.087627956230143,25.797866507153184,
55,22.161815307356086,27.870209728780058,
56,21.79021879021879,29.7418977922637,
57,21.53399258343634,31.232192350332593,
58,,32.21671873809343,
59,,33.97601240423203,
60,,35.88539179509442,
61,,37.53041916167665,
62,,38.29303627952277,
63,,38.900976962971896,
64,,38.88568311310462,
65,,36.9054054054054,
66,,33.311769770015985,
67,,28.29887936717205,
68,,25.123585726718886,
